district,GRDP,population
종로구,"28,036,775","159,940"
중구,"48,654,807","127,482"
용산구,"10,308,398","225,202"
성동구,"10,503,045","294,822"
광진구,"5,970,256","366,874"
동대문구,"7,180,082","361,834"
중랑구,"4,013,154","402,615"
성북구,"5,217,211","452,601"
강북구,"2,830,150","317,889"
도봉구,"2,816,851","339,015"
노원구,"5,292,768","560,350"
은평구,"3,929,828","474,795"
서대문구,"7,452,206","318,355"
마포구,"16,355,733","376,613"
양천구,"6,022,303","462,973"
강서구,"10,739,720","573,224"
구로구,"11,964,909","442,766"
금천구,"15,004,950","248,820"
영등포구,"27,701,698","403,389"
동작구,"5,184,807","408,043"
관악구,"5,358,231","519,316"
서초구,"29,493,607","418,215"
강남구,"59,981,514","534,889"
송파구,"22,002,209","627,130"
강동구,"7,424,711","434,929"
