0,1,0,1,0,1
강동구,2,강동구,1,강남구,40
강북구,3,강북구,6,강동구,24
광진구,1,관악구,9,강북구,9
동대문구,3,구로구,1,강서구,20
동작구,1,금천구,1,관악구,7
마포구,2,노원구,6,광진구,11
서대문구,4,도봉구,2,구로구,11
성동구,1,동대문구,27,금천구,10
성북구,2,동작구,15,노원구,7
양천구,2,마포구,9,도봉구,3
영등포구,34,서대문구,17,동대문구,8
용산구,10,성동구,20,동작구,6
은평구,2,성북구,38,마포구,9
종로구,6,송파구,5,서대문구,10
중구,1,양천구,8,서초구,57
중랑구,2,영등포구,12,성동구,6
관악구,9,용산구,9,성북구,8
구로구,1,은평구,23,송파구,21
금천구,1,종로구,5,양천구,8
노원구,6,중구,5,영등포구,22
도봉구,2,중랑구,2,용산구,12
송파구,5,강남구,0,은평구,9
강남구,0,강서구,0,종로구,1
강서구,0,광진구,0,중구,0
서초구,0,서초구,0,중랑구,11
